Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.03090868587683468,0.030226821442895034,0.031541504499814944,0.0013417687978502777,0.001003524420519107,0.0017746901185459632,Z3,v-->v,V1,0,0.0,0.0,1,1,1,1
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.03194071773412652,0.0311238929981737,0.03265884070848214,0.0016506966801754755,0.0011737256615568894,0.002426425638444235,Z3,v-->v,V2,0,0.0,0.0,1,1,1,1
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.024400621531242245,0.023448668258822268,0.025264542018721733,0.001992528820466813,0.0014578478649570194,0.0026074028198330873,Z3,v-->v,V3,0,0.0,0.0,1,1,1,1
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.025396324696135262,0.02484920481596991,0.025894506407723065,0.0011425298167644835,0.0009678882872841284,0.0015008906131594901,Z3,v-->v,V4,0,0.0,0.0,1,1,1,1
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.0318323547622375,0.030433706468524703,0.032787935651525296,0.002426462590395859,0.001445681636382541,0.0039675512284638595,Z3,v-->v,V5,0,0.0,0.0,1,1,1,1
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.032989230825046706,0.03112750132748177,0.033747173706216334,0.0023169687201613966,0.0009440699264018377,0.0038626904266686572,Z3,v-->v,V6,0,0.0,0.0,1,1,1,1
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.02643627389259488,0.02591399255893192,0.026954889890445748,0.0011703334489680923,0.0009280616771603015,0.0015622306677390428,Z3,v-->v,V7,0,0.0,0.0,1,1,1,1
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.02685146331424219,0.026298955447480656,0.02741631248144001,0.0012750644874005611,0.0009159753980456147,0.0017721355987757087,Z3,v-->v,V8,0,0.0,0.0,1,1,1,1
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.026098611005910575,0.025389991678950473,0.026853394848970088,0.0015896109674364352,0.0012012557308985206,0.002082436855144319,Z3,v-->v,V9,0,0.0,0.0,1,1,1,1
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.024157243502111524,0.023829854179151157,0.0247332493270049,0.0009635761476833883,0.00046849603684568644,0.0014238872574834135,Z3,v-->v,V10,0,0.0,0.0,1,1,1,1
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/2332/Variants/2,0.023568325218825504,0.023084634543850954,0.02405792690742754,0.0010919554565592576,0.0007950882982068183,0.0016106348017349843,Z3,v-->v,V1,558,558.0,0.78768235,2890,2332,2332,2
Z3/v-->v/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/2202/Variants/4,0.029010317248399344,0.028257406537134384,0.029563632311796602,0.0014260747467594852,0.0008260032793396037,0.0020701646815880293,Z3,v-->v,V1*V2,1322,1322.0,0.4616535,3515,2202,2202,4
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/1400/Compression/0.23948032/VCore_Total/3532/VCorePlain/2157/VCoreVar/2157/Variants/8,0.03799771266323936,0.037078648992176055,0.03866979456531593,0.0016461261800861271,0.0011958850125558982,0.0022790934242734933,Z3,v-->v,V1*V2*V3,1400,1400.0,0.23948032,3532,2157,2157,8
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/1478/Compression/0.12483662/VCore_Total/3580/VCorePlain/2135/VCoreVar/2135/Variants/16,0.059066535767219104,0.05761792178940547,0.06030360032024983,0.002529736761831565,0.0017682832738541861,0.0036574325725422592,Z3,v-->v,V1*V2*V3*V4,1478,1478.0,0.12483662,3580,2135,2135,16
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2159/Compression/6.726688e-2/VCore_Total/3588/VCorePlain/1827/VCoreVar/1827/Variants/32,0.11278841752849207,0.10906572338777779,0.11643459057738095,0.0063891116050152925,0.004267588422870131,0.00975321956497661,Z3,v-->v,V1*V2*V3*V4*V5,2159,2159.0,0.06726688,3588,1827,1827,32
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2827/Compression/3.424053e-2/VCore_Total/4020/VCorePlain/1716/VCoreVar/1716/Variants/64,0.2638464714213095,0.25770827175666666,0.2701063313477381,0.010225550679750341,0.007197618721952192,0.015194146285711314,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2827.0,0.03424053,4020,1716,1716,64
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/3248/Compression/1.7480673e-2/VCore_Total/4135/VCorePlain/1560/VCoreVar/1560/Variants/128,0.5153193157141667,0.5057464299891666,0.5232196012325,0.015044984841254667,0.011471595647193883,0.01938776515126381,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,3248.0,0.017480673,4135,1560,1560,128
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/3633/Compression/8.891835e-3/VCore_Total/4392/VCorePlain/1498/VCoreVar/1498/Variants/256,1.0968673238820634,1.0874754593061904,1.1090249105261112,0.018292980635097794,0.011554727119977765,0.026480118572404208,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,3633.0,0.008891835,4392,1498,1498,256
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/3752/Compression/4.50614e-3/VCore_Total/4419/VCorePlain/1461/VCoreVar/1461/Variants/512,2.243984862690635,2.22206925314,2.2728295499277777,0.04230110989893327,0.026119440557916908,0.06528976282744445,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,3752.0,0.00450614,4419,1461,1461,512
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/3809/Compression/2.245556e-3/VCore_Total/4456/VCorePlain/1441/VCoreVar/1441/Variants/1024,4.598973736969683,4.49497693114,4.678195882734127,0.14830688616721524,0.0917818352815536,0.23307524156512885,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,3809.0,0.002245556,4456,1441,1441,1024
Z3/p-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,9.144985734641829e-5,9.116414259027015e-5,9.190559048908945e-5,9.868858417548055e-7,4.827108642046167e-7,1.4525899929924083e-6,Z3,p-->v,V1,0,0.0,0.0,1,1,1,1
Z3/p-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.00011531761102428012,0.0001141800052916294,0.00011630149428189274,3.1022079339906974e-6,2.491232436492725e-6,3.4151169419748583e-6,Z3,p-->v,V2,0,0.0,0.0,1,1,1,1
Z3/p-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.798073823749216e-5,6.69289436183854e-5,6.903040925093642e-5,2.9151478540950506e-6,2.6190875792518292e-6,3.4180052055620037e-6,Z3,p-->v,V3,0,0.0,0.0,1,1,1,1
Z3/p-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.923077854152605e-5,6.88632958226243e-5,6.971541222606353e-5,1.129271294860479e-6,6.918071009759872e-7,1.6042146672819855e-6,Z3,p-->v,V4,0,0.0,0.0,1,1,1,1
Z3/p-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.0001100134794443754,0.00010809768471777242,0.00011349069165033982,7.048125315220268e-6,4.387130328969727e-6,1.1911767358334102e-5,Z3,p-->v,V5,0,0.0,0.0,1,1,1,1
Z3/p-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,0.00011058538098396035,0.00010836770736382341,0.00011313913499210798,6.329385136868057e-6,4.92451431437408e-6,9.463405699773064e-6,Z3,p-->v,V6,0,0.0,0.0,1,1,1,1
Z3/p-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.855995580842118e-5,7.751144312654349e-5,7.981544469454969e-5,2.9990772182685674e-6,2.4175679774761597e-6,3.837810234046929e-6,Z3,p-->v,V7,0,0.0,0.0,1,1,1,1
Z3/p-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.690446103669418e-5,7.581402406485317e-5,7.795848837557478e-5,2.96368901639038e-6,2.5805410088236652e-6,3.270675568937858e-6,Z3,p-->v,V8,0,0.0,0.0,1,1,1,1
Z3/p-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.377291646636297e-5,7.260028512385099e-5,7.513386632949354e-5,3.3664512254175037e-6,2.844492329019583e-6,4.0390010088910414e-6,Z3,p-->v,V9,0,0.0,0.0,1,1,1,1
Z3/p-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.9857797856826e-5,6.912957769864387e-5,7.068434079106849e-5,1.9672603249529212e-6,1.4600046012423258e-6,2.6263660166241506e-6,Z3,p-->v,V10,0,0.0,0.0,1,1,1,1
Z3/p-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/2332/Variants/2,0.04363263660388501,0.042251825634188035,0.04463207990150405,0.002477031118039102,0.0016402929052539315,0.003302830699750203,Z3,p-->v,V1,558,558.0,0.78768235,2890,2332,2332,2
Z3/p-->v/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/2202/Variants/4,0.10260206812916665,0.09975303824333334,0.1051243805925,0.004602657972155095,0.0023366814678736675,0.007922878345353062,Z3,p-->v,V1*V2,1322,1322.0,0.4616535,3515,2202,2202,4
Z3/p-->v/V1*V2*V3/Chc/1400/numPlain/1400/Compression/0.23948032/VCore_Total/3532/VCorePlain/2157/VCoreVar/2157/Variants/8,0.20982942524519843,0.20611042881500002,0.2127329053862302,0.005659577458702757,0.003694387643411325,0.00824657019998783,Z3,p-->v,V1*V2*V3,1400,1400.0,0.23948032,3532,2157,2157,8
Z3/p-->v/V1*V2*V3*V4/Chc/1478/numPlain/1478/Compression/0.12483662/VCore_Total/3580/VCorePlain/2135/VCoreVar/2135/Variants/16,0.4407196721257143,0.435483843055,0.4462009534333333,0.008977158633538323,0.006670134218554752,0.011735150071560927,Z3,p-->v,V1*V2*V3*V4,1478,1478.0,0.12483662,3580,2135,2135,16
Z3/p-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2159/Compression/6.726688e-2/VCore_Total/3588/VCorePlain/1827/VCoreVar/1827/Variants/32,0.9656373018492064,0.9554422989736508,0.976448822785,0.017443659333296956,0.01232998959254663,0.025595876365637423,Z3,p-->v,V1*V2*V3*V4*V5,2159,2159.0,0.06726688,3588,1827,1827,32
Z3/p-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2827/Compression/3.424053e-2/VCore_Total/4020/VCorePlain/1716/VCoreVar/1716/Variants/64,2.0739016217411113,2.0567716251644446,2.0916048864644443,0.03023767901397806,0.02276476735602878,0.03899826546223943,Z3,p-->v,V1*V2*V3*V4*V5*V6,2827,2827.0,0.03424053,4020,1716,1716,64
