Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.04152316166666666,Z3,v-->v,V1,0,0.0,0.0,1,0,0,1
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.053492232333333334,Z3,v-->v,V2,0,0.0,0.0,1,0,0,1
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.02621638925,Z3,v-->v,V3,0,0.0,0.0,1,0,0,1
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.0282344795,Z3,v-->v,V4,0,0.0,0.0,1,0,0,1
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.055860527666666666,Z3,v-->v,V5,0,0.0,0.0,1,0,0,1
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.055113990333333335,Z3,v-->v,V6,0,0.0,0.0,1,0,0,1
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.03370657333333333,Z3,v-->v,V7,0,0.0,0.0,1,0,0,1
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.034924407666666664,Z3,v-->v,V8,0,0.0,0.0,1,0,0,1
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.029915114,Z3,v-->v,V9,0,0.0,0.0,1,0,0,1
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.02680919575,Z3,v-->v,V10,0,0.0,0.0,1,0,0,1
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/558/Variants/2,0.07015916366666666,Z3,v-->v,V1,558,558.0,0.78768235,2890,2332,558,2
Z3/v-->v/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/1313/Variants/4,0.17147139633333333,Z3,v-->v,V1*V2,1322,1322.0,0.4616535,3515,2202,1313,4
