Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,3.090868587683468e-2,3.0226821442895034e-2,3.1541504499814944e-2,1.3417687978502777e-3,1.003524420519107e-3,1.7746901185459632e-3
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,3.194071773412652e-2,3.11238929981737e-2,3.265884070848214e-2,1.6506966801754755e-3,1.1737256615568894e-3,2.426425638444235e-3
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.4400621531242245e-2,2.3448668258822268e-2,2.5264542018721733e-2,1.992528820466813e-3,1.4578478649570194e-3,2.6074028198330873e-3
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.5396324696135262e-2,2.484920481596991e-2,2.5894506407723065e-2,1.1425298167644835e-3,9.678882872841284e-4,1.5008906131594901e-3
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,3.18323547622375e-2,3.0433706468524703e-2,3.2787935651525296e-2,2.426462590395859e-3,1.445681636382541e-3,3.9675512284638595e-3
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,3.2989230825046706e-2,3.112750132748177e-2,3.3747173706216334e-2,2.3169687201613966e-3,9.440699264018377e-4,3.8626904266686572e-3
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.643627389259488e-2,2.591399255893192e-2,2.6954889890445748e-2,1.1703334489680923e-3,9.280616771603015e-4,1.5622306677390428e-3
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.685146331424219e-2,2.6298955447480656e-2,2.741631248144001e-2,1.2750644874005611e-3,9.159753980456147e-4,1.7721355987757087e-3
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.6098611005910575e-2,2.5389991678950473e-2,2.6853394848970088e-2,1.5896109674364352e-3,1.2012557308985206e-3,2.082436855144319e-3
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,2.4157243502111524e-2,2.3829854179151157e-2,2.47332493270049e-2,9.635761476833883e-4,4.6849603684568644e-4,1.4238872574834135e-3
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/2332/Variants/2,2.3568325218825504e-2,2.3084634543850954e-2,2.405792690742754e-2,1.0919554565592576e-3,7.950882982068183e-4,1.6106348017349843e-3
Z3/v-->v/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/2202/Variants/4,2.9010317248399344e-2,2.8257406537134384e-2,2.9563632311796602e-2,1.4260747467594852e-3,8.260032793396037e-4,2.0701646815880293e-3
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/1400/Compression/0.23948032/VCore_Total/3532/VCorePlain/2157/VCoreVar/2157/Variants/8,3.799771266323936e-2,3.7078648992176055e-2,3.866979456531593e-2,1.6461261800861271e-3,1.1958850125558982e-3,2.2790934242734933e-3
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/1478/Compression/0.12483662/VCore_Total/3580/VCorePlain/2135/VCoreVar/2135/Variants/16,5.9066535767219104e-2,5.761792178940547e-2,6.030360032024983e-2,2.529736761831565e-3,1.7682832738541861e-3,3.6574325725422592e-3
