name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,4.3074786e-2,171978040,4.3162931e-2,4.2165e-2,1.004e-3,134956,0,0,15,1,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,8.0821347e-2,322681880,8.0926979e-2,8.0933e-2,0.0,134956,0,0,28,0,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.124569485,497347160,0.124736792,0.124741,1.0e-6,134956,0,0,40,1,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,5.4786122e-2,218735160,5.489604e-2,5.4892e-2,8.0e-6,134956,0,0,18,0,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,0.106645596,425784880,0.106790073,0.106795,0.0,134956,1,0,33,0,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.160476697,640705720,0.160680426,0.160685,0.0,134956,0,0,47,0,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,5.3311176e-2,212848840,5.3334152e-2,5.3339e-2,0.0,134956,0,0,24,1,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,8.0047255e-2,319591360,8.0033113e-2,8.0038e-2,0.0,134956,0,0,37,0,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,4,0.104865557,418677760,0.105059791,0.105064,1.0e-6,134956,0,0,46,1,,,,,,,
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,5.6173445e-2,224275680,5.6146851e-2,5.6152e-2,0.0,134956,0,0,24,0,,,,,,,
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,8.4879068e-2,338881720,8.4847368e-2,8.4852e-2,0.0,134956,0,0,38,0,,,,,,,
Z3/v-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,4,0.112937918,450908280,0.112885873,0.11289,0.0,134956,0,0,49,0,,,,,,,
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,5.7304215e-2,228789440,5.732154e-2,5.7326e-2,1.0e-6,134956,0,0,18,0,,,,,,,
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,0.11132353,444460320,0.11133938,0.111344,0.0,134956,0,0,34,0,,,,,,,
Z3/v-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.167581583,669071800,0.167786431,0.166788,1.002e-3,134956,0,0,52,1,,,,,,,
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,5.4140251e-2,216158000,5.426193e-2,5.4267e-2,0.0,134956,0,0,18,0,,,,,,,
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,0.108355773,432612920,0.108532283,0.108538,0.0,134956,0,0,33,0,,,,,,,
Z3/v-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.165341971,660131640,0.165589915,0.164594,1.0e-3,134956,0,0,49,0,,,,,,,
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,3.267073e-2,130439160,3.2761821e-2,3.2768e-2,0.0,134956,0,0,14,0,,,,,,,
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,6.7050857e-2,267703760,6.717929e-2,6.7184e-2,0.0,134956,0,0,26,0,,,,,,,
Z3/v-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.10111972,403723520,0.101318646,0.101323,0.0,134956,0,0,35,0,,,,,,,
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,1,3.3228396e-2,132666800,3.3318042e-2,3.3323e-2,2.0e-6,134956,0,0,14,0,,,,,,,
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,6.8055812e-2,271715640,6.8193883e-2,6.8194e-2,5.0e-6,134956,0,0,26,0,,,,,,,
Z3/v-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,0.104773223,418310160,0.104970506,0.104976,0.0,134956,0,0,39,0,,,,,,,
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,5.9139818e-2,236120000,5.9275653e-2,5.928e-2,0.0,134956,0,0,25,0,,,,,,,
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,8.8645832e-2,353921040,8.8817313e-2,8.8822e-2,0.0,134956,0,0,36,0,,,,,,,
Z3/v-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,4,0.119660456,477747280,0.119909166,0.119915,0.0,134956,0,0,51,0,,,,,,,
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,2,5.3001905e-2,211612600,5.3104905e-2,5.311e-2,0.0,134956,0,0,26,1,,,,,,,
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,3,8.050882e-2,321433840,8.0688752e-2,8.0693e-2,1.0e-6,134956,0,0,35,0,,,,,,,
Z3/v-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,4,0.107236783,428146200,0.107489043,0.107494,1.0e-6,134956,0,0,40,0,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/558/Variants/2,1,7.1657738e-2,286096480,7.1784859e-2,7.1787e-2,3.0e-6,134956,0,0,24,0,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/558/Variants/2,2,0.136648972,545572880,0.136908564,0.136913,0.0,134956,2,0,45,0,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/558/Variants/2,3,0.210477491,840334400,0.210808855,0.210814,0.0,134956,22,0,66,0,,,,,,,
